,name,price,mrp,Rating,discount
0,NA,NA,NA,NA,NA
1,About this item,About this item,NA, 3.4 ,NA
2,About this item,About this item,NA, 3.9 ,NA
3,"   ₹2,189","   ₹2,189"," ₹3,599.00 ", 3.0 ,-39%
4,   ₹799,   ₹799," ₹3,999.00 ", 3.0 ,-80%
5,About this item,About this item,NA, 1.0 ,NA
6,   ₹949,   ₹949," ₹1,999.00 ", 2.5 ,-53%
7,"   ₹2,449","   ₹2,449"," ₹3,999.00 ", 1.0 ,-39%
8,About this item,About this item,NA,NA,NA
9,"   ₹1,049","   ₹1,049",NA, 2.8 ,NA
10,   ₹699,   ₹699," ₹2,999.00 ", 3.6 ,-77%
11,   ₹799,   ₹799," ₹1,999.00 ", 3.6 ,-60%
12,NA,NA,NA,NA,NA
13,About this item,About this item,NA,NA,NA
14,"   ₹2,649","   ₹2,649"," ₹9,029.00 ", 4.0 ,-71%
15,   ₹989,   ₹989," ₹3,999.00 ", 3.7 ,-75%
16,About this item,About this item,NA,NA,NA
17,"   ₹1,399","   ₹1,399"," ₹3,549.00 ", 3.7 ,-61%
18,   ₹799,   ₹799," ₹2,999.00 ", 3.1 ,-73%
19,"   ₹1,599","   ₹1,599"," ₹4,699.00 ", 3.4 ,-66%
20,"   ₹1,249","   ₹1,249"," ₹5,999.00 ", 3.0 ,-79%
21,"   ₹2,079","   ₹2,079"," ₹2,999.00 ", 3.2 ,-31%
22,About this item,About this item,NA,NA,NA
23,   ₹899,   ₹899," ₹3,999.00 ", 3.1 ,-78%
24,NA,NA,NA,NA,NA
25,   ₹775,   ₹775," ₹1,999.00 ", 4.1 ,-61%
26,"   ₹3,899","   ₹3,899"," ₹4,299.00 ", 4.1 ,-9%
27,"   ₹3,280","   ₹3,280"," ₹5,250.00 ", 4.1 ,-38%
28,NA,NA,NA,NA,NA
29,   ₹999,   ₹999," ₹2,999.00 ", 2.4 ,-67%
30,"   ₹1,790","   ₹1,790"," ₹2,890.00 ", 2.4 ,-38%
31,"   ₹1,599","   ₹1,599"," ₹6,999.00 ", 3.8 ,-77%
32,   ₹899,   ₹899," ₹3,198.00 ", 3.8 ,-72%
33,   ₹799,   ₹799," ₹3,198.00 ", 3.8 ,-75%
34,"   ₹1,899","   ₹1,899"," ₹7,949.00 ", 3.0 ,-76%
35,   ₹839,   ₹839," ₹3,799.00 ", 3.0 ,-78%
36,"   ₹1,199","   ₹1,199"," ₹4,999.00 "," 1,749.00 ",-76%
37,"   ₹2,300","   ₹2,300"," ₹5,650.00 "," 1,749.00 ",-59%
38,"   ₹1,999","   ₹1,999"," ₹5,999.00 "," 1,749.00 ",-67%
39,"   ₹1,999","   ₹1,999"," ₹8,999.00 ", 1.0 ,-78%
40,"   ₹1,799","   ₹1,799"," ₹8,999.00 ", 4.5 ,-80%
41,About this item,About this item,NA, 2.6 ,NA
42,"   ₹1,799","   ₹1,799"," ₹8,999.00 ", 4.0 ,-80%
43,About this item,About this item,NA,NA,NA
44,"   ₹2,400","   ₹2,400"," ₹5,000.00 ",NA,-52%
45,"   ₹2,400","   ₹2,400"," ₹5,000.00 ",NA,-52%
46,   ₹949,   ₹949," ₹1,999.00 ", 4.3 ,-53%
47,   ₹899,   ₹899," ₹3,999.00 ", 4.4 ,-78%
48,"   ₹1,299","   ₹1,299"," ₹2,999.00 ", 3.0 ,-57%
49,"   ₹1,599","   ₹1,599"," ₹4,999.00 ", 3.0 ,-68%
50,"   ₹1,899","   ₹1,899"," ₹8,999.00 ", 4.0 ,-79%
51,"   ₹1,699","   ₹1,699"," ₹4,799.00 ", 3.3 ,-65%
52,   ₹899,   ₹899," ₹1,999.00 ", 3.3 ,-55%
53,About this item,About this item,NA, 5.0 ,NA
54,   ₹749,   ₹749," ₹3,599.00 ", 3.3 ,-79%
55,"   ₹1,999","   ₹1,999"," ₹2,499.00 ", 2.4 ,-20%
56,NA,NA,NA,NA,NA
57,"   ₹1,947","   ₹1,947"," ₹2,699.00 ", 3.1 ,-28%
58,   ₹499,   ₹499," ₹2,599.00 ", 4.3 ,-81%
59,About this item,About this item,NA," 1,699.00 ",NA
60,About this item,About this item,NA,NA,NA
61,About this item,About this item,NA,NA,NA
62,   ₹999,   ₹999," ₹2,999.00 ", 3.0 ,-67%
63,"   ₹1,399","   ₹1,399"," ₹5,999.00 ", 1.0 ,-77%
64,"   ₹1,440","   ₹1,440"," ₹5,529.00 ", 3.0 ,-74%
65,"   ₹3,009","   ₹3,009"," ₹6,999.00 ", 4.0 ,-57%
66,About this item,About this item,NA, 2.7 ,NA
67,"   ₹1,399","   ₹1,399"," ₹7,999.00 ", 2.0 ,-83%
68,"   ₹1,699","   ₹1,699"," ₹1,999.00 ", 5.0 ,-15%
69,"   ₹2,099","   ₹2,099"," ₹3,500.00 ", 5.0 ,-40%
70,"   ₹1,898","   ₹1,898"," ₹3,500.00 ", 2.0 ,-46%
71,"   ₹1,999","   ₹1,999"," ₹2,499.00 ", 2.0 ,-20%
72,"   ₹1,449","   ₹1,449"," ₹3,299.00 ", 3.0 ,-56%
73,"   ₹1,799","   ₹1,799"," ₹2,499.00 ", 3.0 ,-28%
74,"   ₹3,599","   ₹3,599"," ₹6,999.00 ", 2.4 ,-49%
75,About this item,About this item,NA,NA,NA
76,About this item,About this item,NA,NA,NA
77,"   ₹1,499","   ₹1,499"," ₹7,999.00 ", 4.6 ,-81%
78,"   ₹1,399","   ₹1,399"," ₹6,599.00 ", 4.5 ,-79%
79,"   ₹1,699","   ₹1,699"," ₹4,799.00 ", 3.5 ,-65%
80,About this item,About this item,NA, 1.0 ,NA
81,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA
83,"   ₹2,269","   ₹2,269"," ₹9,449.00 ", 3.6 ,-76%
84,"   ₹1,799","   ₹1,799"," ₹2,499.00 ", 3.6 ,-28%
85,"   ₹2,131","   ₹2,131"," ₹3,956.00 ", 3.6 ,-46%
86,About this item,About this item,NA, 4.7 ,NA
87,About this item,About this item,NA,NA,NA
88,"   ₹1,799","   ₹1,799"," ₹3,999.00 ",NA,-55%
89,"   ₹1,799","   ₹1,799"," ₹2,199.00 ", 3.0 ,-18%
90,"   ₹1,699","   ₹1,699"," ₹2,999.00 ", 3.4 ,-43%
91,"   ₹1,199","   ₹1,199"," ₹2,449.00 ", 3.3 ,-51%
92,"   ₹1,899","   ₹1,899"," ₹2,499.00 ", 3.3 ,-24%
93,   ₹999,   ₹999," ₹1,998.00 ", 3.3 ,-50%
94,"   ₹1,899","   ₹1,899"," ₹2,499.00 ", 5.0 ,-24%
95,"   ₹2,525","   ₹2,525"," ₹4,999.00 ", 2.6 ,-49%
96,About this item,About this item,NA,NA,NA
97,"   ₹2,303","   ₹2,303"," ₹4,100.00 ",NA,-44%
