,name,price,mrp,Rating,product_id
0,Designer Dress (code- 1427bk), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-dress-9code-1427bk
1,Designer Dress (code- 1457bk),"
 980.00
","
 980.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-dress-code-1457bk
2,Designer Dress (code- 1514 bk), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-dress-code-1514-bk
3,Designer Dress (Code-1521 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-dress-code-1521-bk
4,Designer Kurthi (code- 1356 bk ), 1 100.00, 1 100.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurtgi-code-1356bk
5,Designer Kurtha (code- 1203bk), 1 200.00, 1 200.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurtha-code-1203bk
6,Designer Kurthi (code- 1197bk), 1 200.00, 1 200.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1197bk
7,Designer Kurthi (code-1205bk), 1 200.00, 1 200.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1205bk
8,Designer Kurthi (code-1342bk), 1 200.00, 1 200.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1242bk-1
9,Designer Kurthi (code-1258bk), 1 200.00, 1 200.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1258bk
10,Designer Kurthi (code-1261bk),"
 1,300.00
","
 1,300.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1261bk
11,Designer Kurthi (code-1275bk),"
 1,400.00
","
 1,400.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1275bk
12,Designer Kurthi (code-1309bk), 1 500.00, 1 500.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1309bk
13,Designer Kurthi (code-1324bk),"
 1,600.00
","
 1,600.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1324bk
14,Designer Kurthi (code-1327bk),"
 1,600.00
","
 1,600.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1327bk
15,Designer Kurthi (code- 1332bk), 1 400.00, 1 400.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1332bk
16,Designer Kurthi (code-1333bk), 1 400.00, 1 400.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1333bk
17,Designer Kurthi (code-1333bk), 1 400.00, 1 400.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1370bk
18,Designer Kurthi (code-1384 bk),"
 950.00
","
 950.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1384-bk
19,Designer Kurthi (code- 1389 bk), 1 100.00, 1 100.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1389-bk
20,Designer Kurthi (code-1407 bk),"
 2,900.00
","
 2,900.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1407-bk
21,Designer Kurthi (code- 1409 bk),"
 880.00
","
 880.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1409-bk
22,Designer Kurthi (code- 1423 bk), 1 200.00, 1 200.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1423-bk
23,Designer kurthi (code-1435), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1435
24,Designer kurthi (code-1435), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1458-bk
25,Designer Kurthi (code- 1472 bk), 1 400.00, 1 400.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1472-bk
26,Designer Kurthi (code- 1478bk), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1478bk
27,Designer Kurthi (code- 1492 bk), 880.00, 880.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1492-bk
28,Designer Kurthi(Code-1503 BK), 880.00, 880.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1503-bk
29,Designer Kurthi (code- 1505 bk), 1 200.00, 1 200.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1505-bk
30,Designer Kurthi(Code-1506 BK),"
 980.00
","
 980.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1506-bk
31,Designer Kurthi (code- 1507 bk), 1 100.00, 1 100.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1507-bk
32,Designer Kurthi(Code-1509 BK), 1 200.00, 1 200.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1509-bk
33,Designer Kurthi (Code-1517 BK), 880.00, 880.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1517-bk
34,Designer Kurthi (Code-1518 BK), 1 200.00, 1 200.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1518-bk
35,Designer Kurthi (Code-1519 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1519-bk
36,Designer Kurthi(Code-1523 BK),"
 880.00
","
 880.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1523-bk
37,Designer Kurthi(Code-1527 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1527-bk
38,Designer Kurthi(Code-1528 BK), 880.00, 880.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1528-bk
39,Designer Kurthi(Code-1529 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1529-bk
40,Designer Kurthi(Code-1533 BK), 880.00, 880.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1533-bk
41,Designer Kurthi(Code-1536 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1536-bk
42,Designer Kurthi(Code-1537 BK), 880.00, 880.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1537-bk
43,Designer Kurthi (code- 1538 bk), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1538-bk
44,Designer Kurthi (Code-1540 BK),"
 880.00
","
 880.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthi-code-1540-bk
45,Designer Kurthi(Code-1542 BK), 1 100.00, 1 100.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1542-bk
46,Designer Kurthi(Code-1543 BK), 1 200.00, 1 200.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1543-bk
47,Designer Kurthi(Code-1544 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1544-bk
48,Designer Kurthi(Code-1545 BK),"
 1,400.00
","
 1,400.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1545-bk
49,Designer Kurthi(Code-1546 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1546-bk
50,Designer Kurthi(Code-1547 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1547-bk
