,name,price,mrp,Rating,discount
0,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA
2,        Womanista Women's Block Print Polycotton Ready to Wear Saree (TI5140_Black)       ,"   ₹1,399"," ₹3,549.00 ", 3.6 ,-61%
3,        AKHILAM Women's Embellished Georgette Saree With Unstitched Blouse Piece (KOSKI284_VP_Parent)       ,"   ₹1,249"," ₹4,799.00 ", 3.4 ,-74%
4,        Shiv Textiles Women's Georgette Sequins Ready To Wear One Minute Saree for women With Unstitched Blouse.       ,"   ₹1,118"," ₹2,399.00 ", 4.1 ,-53%
5,NA,NA,NA,NA,NA
6,        BIBA Women Polyester Printed Straight Salwar Kurta Dupatta       ,About this item,NA, 3.3 ,NA
7,        fashor Women's Cotton Floral Regular Fashion Vest       ,   ₹831," ₹2,399.00 ", 3.3 ,-65%
8,        INDO ERA Women's Embroidered Silk Blend Straight Kurta Pant With Dupatta Set (Kh9Lv7982)       ,"   ₹1,849"," ₹8,999.00 ", 4.5 ,-79%
9,        INDO ERA Women's Pink Silk Blend Embroidered Straight Kurta & Pant with Dupatta Set (KH9BP6006)       ,"   ₹1,739"," ₹7,999.00 ", 2.0 ,-78%
10,        INDO ERA Women's Embroidered Silk Blend Straight Kurta & Pant with Dupatta Set (RRRRR6017)       ,"   ₹1,799"," ₹7,999.00 ", 4.5 ,-78%
11,        INDO ERA Women's Embroidered Viscose Straight Kurta & Pant With Dupatta Set (IEPND7839)       ,"   ₹1,549"," ₹6,599.00 ", 4.5 ,-77%
12,        INDO ERA Women's Embroidered Silk Blend Straight Kurta & Pant With Dupatta Set (KH9MR6223)       ,"   ₹1,749"," ₹4,799.00 ", 4.1 ,-64%
13,        INDO ERA Women's Embroidered Viscose Straight Kurta & Pant with Dupatta Set (KH1YL9523)       ,About this item,NA, 1.0 ,NA
14,        INDO ERA Women's Embroidered Silk Blend Above Knee Straight Kurta & Sharara With Dupatta Set       ,About this item,NA, 4.7 ,NA
15,NA,NA,NA,NA,NA
16,        Miss Chase Women's Lavender & Wine V-Neck Cap Sleeves Floral Lace Fit & Flare Maxi Dress       ,   ₹999," ₹2,999.00 ", 4.3 ,-67%
17,NA,NA,NA,NA,NA
18,        INDO ERA Women's Pure Cotton Embroidered Straight Kurta Pant With Dupatta Set (Kh0Lv6084)       ,"   ₹1,799"," ₹4,799.00 ", 3.5 ,-63%
19,NA,NA,NA,NA,NA
20,        madhuram women'S Georgette Lehenga And Choli With Long Shrug Set For Solid With Heavy Embroidery Work Set(M-2410)       ,"   ₹1,599"," ₹6,999.00 ", 4.4 ,-77%
21,        XL LOVE - By Janasya Women's Plus Size Grey Poly Georgette Kurta and Dupatta       ,About this item,NA, 3.6 ,NA
22,        Wedani Georgette Anarkali Kurta Set for Women       ,   ₹800," ₹3,799.00 ", 3.3 ,-79%
23,        NIKHAR FASHIONS Women Cotton Blend Kurta Pant Dupatta Set (Brown)       ,"   ₹1,199"," ₹2,699.00 ", 1.0 ,-56%
24,        FIORRA Women's Wine Georgette Printed Gown with Dupatta       ,"   ₹1,299"," ₹4,999.00 ", 4.3 ,-74%
25,NA,NA,NA,NA,NA
26,        RUDRAPRAYAG anarkali georgette and santoon suits for women | anarkali gown for women readymade | gown for women semi-stitched | gown for women 2022 | anarkali gown | gown in Clothing & Accessories       ,"   ₹2,399"," ₹5,999.00 ", 3.8 ,-60%
27,        Vaamsi Women's Pure Cotton Floral Printed Straight Kurta Set With Dupatta (VKSKD1121_Blue)       ,"   ₹1,299"," ₹3,747.00 ", 4.2 ,-65%
28,NA,NA,NA,NA,NA
29,        HMP Fashion Women Georgette Ready To Wear Saree Floral Printed Sari With Lace Border & Solid Unstitched Blouse Piece (Ready To Wear One Minute Saree)       ,   ₹898," ₹1,899.00 ", 3.3 ,-53%
30,        Drape in Elegance Discover Budget-Friendly Luxury with Dyed Chiffon Saree & Unstitched Blouse Set - Perfect for Versatile Style and Confident Statements.       ,"   ₹1,399"," ₹2,000.00 ", 3.3 ,-30%
31,        AKHILAM Women's Georgette Ethnic Motif Woven Design Saree With Unstitched Blouse Piece(Multicolor_ARIES06A_HS_Parent)       ,"   ₹1,439"," ₹5,849.00 ", 3.0 ,-75%
32,NA,NA,NA,NA,NA
33,        Sidhidata Women's Printed Pure Georgette Saree With Unstitched Blouse Piece (Rocky Aur Rani Ki Prem Kahani-3)       ,   ₹699," ₹2,999.00 ", 1.0 ,-77%
34,        CaraCola Women's Banarasi Style Pure Kanjivaram Silk Jacquard Kanchipuram Pattu Saree With Un-Stiched Blouse…       ,"   ₹1,999"," ₹3,999.00 "," 2,728.00 ",-50%
35,        Womanista Women's Floral Printed Satin Saree (TI_3284_Mustard & White)       ,About this item,NA, 3.9 ,NA
36,        Shreyam Women's kanjivaram soft silk saree with blouse piece       ,   ₹999," ₹3,499.00 ", 2.9 ,-71%
37,        SGF11 Women's Kanjivaram Soft Silk Saree With Blouse Piece       ,   ₹999," ₹5,999.00 ", 3.0 ,-83%
38,        SGF11 Women's Kanjivaram Soft Silk Saree With Blouse Piece       ,   ₹999," ₹5,999.00 ", 3.0 ,-83%
39,        VICHITA Women's Full Crushed/Pleated Satin Saree With Unstitched Blouse Piece|Letest Bollywood Designer Silk Saree (RAMA)       ,   ₹549," ₹2,499.00 ", 4.0 ,-78%
40,        LAZZLY Women's Georgette Ankle length Dual Shaded Flared Embroidered Gown       ,   ₹887," ₹1,999.00 ", 4.0 ,-56%
41,        R4milA Solid Georgette Stitched Anarkali Gown       ,About this item,NA,NA,NA
42,"        Silk Sutra Women's Elegant Wear Women's Black Paisley Print Georgette Gown |Calf-Length with Round Neck, Full Sleeves & Dupatta (STC -BLACK MANGO)       ",   ₹799," ₹2,499.00 ",NA,-68%
43,"        VARNI FLOPPYSHOPEE Presenting Pure Romansilk Chanderi Fabric Fully Flair Anarkali,with Duppta Set,Pent Ready to Wear       ","   ₹2,199"," ₹3,999.00 ",NA,-45%
44,        Aramya Flared Kurta for Women | Cotton Kurta for Ladies | Printed Women's Kurta | Women Kurta for Office or Casual Wear       ,   ₹999," ₹1,499.00 ", 699.00 ,-33%
45,        LYMI LABEL Kurta Pant Set With Dupatta For Women - Georgette Zari Embroidered A-Line Anarkali Kurta With Pant and Dupatta Set       ,"   ₹2,059"," ₹9,029.00 ", 4.0 ,-77%
46,        Ambrozee|| Women Floral Print Cotton Blend Kurta Set|| Anarkali Style Long Kurta with Full Sleeves for Party and Casual wear       ,   ₹799," ₹2,999.00 ", 3.0 ,-73%
47,        Fashion Basket Women's Georgette Regular Knee-Length Kurta Set       ,   ₹789," ₹4,999.00 ", 2.6 ,-84%
48,        IDETTE Women's Soild Georgette Regular Fit Sweetheart Neck Sleeveless Gown with Dupatta (D_T_220227_Wine_X-Large)       ,   ₹799," ₹3,198.00 ", 2.6 ,-75%
49,        THB Women's Anarkali Kurta with Pant and Dupatta       ,   ₹999," ₹3,999.00 ", 4.4 ,-75%
50,        THB Women's Anarkali Kurta with Pant and Dupatta       ,   ₹999," ₹3,999.00 ", 4.4 ,-75%
51,        PRITH V Womens Alia Cut Red colour Printed beautiful Kurta Set with Dupatta (Rayon)       ,About this item,NA, 3.0 ,NA
52,        MUTILA Design a New Roman Silk Fabric Anarkali with Dupatta and Pant Set for Women Ready to wear       ,"   ₹1,999"," ₹2,499.00 ", 2.6 ,-20%
53,        VARNI FLOPPYSHOPEE Women's Printed Georgette Full Sleeve Round Neck Beautiful Anarkali Gown with Dupatta & Pant (XXL)       ,"   ₹2,099"," ₹3,999.00 ", 2.6 ,-48%
54,        KAROVI Women's Heavy Pure Soft Fox Georgette Anarkali Round-neck Long Sleeve Kurti With Matching Pant and Embroidered Work Heavy Matching Dupatta Set (Full Stitched)       ,"   ₹1,999"," ₹3,500.00 ", 2.6 ,-43%
55,        GOMOSWA INTERNATIONAL Women's Lakhnavi Anarkali Cotton Chikankari Kurti with Dupatta|Anarkali Kurti for Women|Kurta for Women       ,   ₹999," ₹1,499.00 ", 3.6 ,-33%
56,        KAROVI Women's Leheriya Georgette Squaer-Neck Long Sleeve Kurti with Matching Pant and Printed Work Heavy Matching Dupatta Set (Full Stitched)       ,"   ₹1,499"," ₹3,999.00 ", 5.0 ,-63%
57,        Kedar Fab Women Digital Print Georgette Anarkali Gown       ,About this item,NA, 3.8 ,NA
58,        Nilkanth Creation Women's Designer Georgrtte Woven Anarkali Kurta Dupatta Set | Gown Dupatta Set | Ethnic Kurti Pant Set for Women's       ,   ₹829," ₹1,699.00 ", 619.00 ,-51%
