,name,price,mrp,Rating,discount
0,Printed Organza Stitched Flared/A-line Gown  (Black),₹664,"₹1,299",3.6,48% off
1,Floral Print Georgette Stitched Anarkali Gown  (Blue),₹664,"₹1,299",3.6,48% off
2,Women Printed Georgette Anarkali Kurta With Attached Dupatta  (Multicolor),₹719,"₹2,149",3.7,66% off
3,Striped Bollywood Linen Saree  (Blue),₹696,"₹2,499",3.7,72% off
4,Solid/Plain Bollywood Satin Saree  (Pink),₹338,"₹1,599",3.9,78% off
5,Woven Bollywood Cotton Blend Saree  (Black),₹688,"₹1,699",3.9,59% off
6,Solid/Plain Handloom Pure Cotton Saree  (Magenta),₹394,"₹2,199",3.6,82% off
7,Printed Hand Batik Cotton Blend Saree  (Purple),₹446,"₹2,599",3.4,82% off
8,Printed Hand Batik Cotton Blend Saree  (Purple),₹450,"₹2,599",3.4,82% off
9,Solid/Plain Bollywood Georgette Saree  (Pink),₹338,"₹1,999",4.3,83% off
10,Embroidered Bollywood Net Saree  (Yellow),"₹1,330","₹3,999",4.3,66% off
11,Women Viscose Rayon Kurta Pant Set,₹679,"₹1,699",3.9,60% off
12,Women Pure Cotton Kurti Palazzo Dupatta Set,"₹1,559","₹7,490",3.8,79% off
13,Women Pure Cotton Shirt Pant Set,₹989,"₹3,445",3.8,71% off
14,Women Viscose Rayon Kurta Pant Set,₹982,"₹1,999",3.8,50% off
15,Women Viscose Rayon Kurti Pant Set,₹712,"₹1,999",4.5,64% off
16,Women Viscose Rayon Kurta Pant Set,₹664,"₹1,199",4.5,44% off
17,Women Viscose Rayon Kurta Pant Set,₹664,"₹1,199",4.5,44% off
18,Women Cotton Rayon Kurta Pant Set,₹539,₹999,4.5,46% off
19,Women Viscose Rayon Kurta Patiala Set,₹963,"₹2,999",3.9,67% off
20,ELEPANTS Top Pant Co-ords Set,₹508,"₹1,999",3.9,67% off
21,Pasovi Top Pant Co-ords Set,₹779,"₹1,299",3.9,67% off
22,"Printed, Self Design Bollywood Georgette Saree  (Green)",₹721,"₹2,999",3.8,75% off
23,"Embellished Bollywood Nylon, Net Saree  (Multicolor)",₹585,"₹1,499",3.7,60% off
24,Embellished Bollywood Chiffon Saree  (Black),"₹2,479","₹9,449",3.2,73% off
25,Embellished Bollywood Georgette Saree  (Maroon),"₹1,579","₹5,399",3.2,70% off
26,Embellished Bollywood Lycra Blend Saree  (Black),₹395,"₹1,999",3.2,80% off
27,"Digital Print, Self Design Bollywood Georgette Saree  (Red, Pink)",₹872,"₹2,999",3.2,70% off
28,Floral Print Daily Wear Cotton Blend Saree  (Pink),₹491,"₹1,999",3,75% off
29,"Self Design, Embroidered Bollywood Velvet, Silk Blend Saree  (Dark Green)",₹799,"₹1,899",4,57% off
30,"Floral Print Daily Wear Georgette, Chiffon Saree  (Yellow)",₹660,"₹4,599",3.9,85% off
31,Digital Print Bollywood Organza Saree  (Multicolor),₹799,"₹1,299",3.9,38% off
32,"Woven Kanjivaram Pure Silk, Art Silk Saree  (Red)",₹599,"₹3,499",3,82% off
33,Digital Print Jamdani Georgette Saree  (Multicolor),₹679,"₹2,499",3.5,72% off
34,Floral Print Bollywood Georgette Saree  (Black),₹977,"₹2,999",4,67% off
35,Embellished Daily Wear Pure Cotton Saree  (Pink),₹977,"₹2,999",4,67% off
