,name,price,mrp,discount,product_id
0,Beetle Green Textured Microfiber Co-Ord Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/beetle-green-textured-microfiber-co-ord-set
1,Black Embroidered Rayon Kurta and Pant Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/black-embroidered-rayon-kurta-and-pant-set
2,Black Embroidered Rayon Kurta and Pant Set,999.00,"1,999.00",NA,https://stylejaipur.com/products/black-embroidered-viscose-rayon-co-ord-set
3,Black Leaf Printed Printed Cotton Blend Co-Ord Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/black-leaf-printed-printed-cotton-blend-co-ord-set
4,Black Embroidered Rayon Kurta and Pant Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/black-printed-rayon-kurta-and-pant-set-1
5,Black White Polka Dots Printed Co-Ord Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/black-white-polka-dots-printed-co-ord-set
6,Blue Lace Work Cotton Kurta and Pant Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/blue-lace-work-cotton-kurta-and-pant-set
7,Blue Embroidered Rayon Kurta and Pant Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/blue-printed-rayon-kurta-and-pant-set
8,Blue White Floral Printed Rayon CO-Ord Set,949.00,"1,999.00",53 ,https://stylejaipur.com/products/blue-white-floral-printed-rayon-co-ord-set
9,Burnt Pink Cotton Slub Kurta and Pant Set,899.00,"1,999.00",55 ,https://stylejaipur.com/products/burnt-pink-cotton-slub-kurta-and-pant-set
10,Camo Green Printed Rayon Suit Set,"1,199.00","1,999.00",52 ,https://stylejaipur.com/products/camo-green-printed-rayon-suit-set
11,Camo Green Printed Rayon Suit Set,"1,199.00","1,999.00",NA,https://stylejaipur.com/products/carrot-orange-embellished-cotton-co-ord-set
12,Cavern Pink Printed Cotton Co-Ord Set,949.00,"1,999.00",53 ,https://stylejaipur.com/products/cavern-pink-printed-cotton-co-ord-set
13,Cloudy Blue Embroidered Rayon Kurta and Pant Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/cloudy-blue-embroidered-rayon-kurta-and-pant-set
14,Cloudy Blue Embroidered Rayon Kurta and Pant Set,999.00,"1,999.00",NA,https://stylejaipur.com/products/denim-blue-embellished-cotton-co-ord-set
15,Digital Printed Textured Microfiber Co-Ord Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/digital-printed-textured-microfiber-co-ord-set
16,Dusty Pink Katha Cotton Kurta and Cotton Pant Set,949.00,"1,999.00",68 ,https://stylejaipur.com/products/dusty-pink-katha-cotton-kurta-and-cotton-pant-set
17,Embroidered Rayon Kurta and Pant Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/embroidered-rayon-kurta-and-pant-set
18,Black White Floral Printed Rayon Co-Ord Set,899.00,"1,999.00",64 ,https://stylejaipur.com/products/floral-printed-co-ord-set
19,Hazel Green Embroidered Rayon Kurta and Pant Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/hazel-green-embroidered-rayon-kurta-and-pant-set
20,Lehariya Printed Rayon Kurta and Palazzo Set,999.00,"2,999.00",50 ,https://stylejaipur.com/products/lehariya-printed-rayon-kurta-and-palazzo-set
21,Lehariya Printed Rayon Kurta and Palazzo Set,999.00,"2,999.00",NA,https://stylejaipur.com/products/magenta-cotton-pathani-kurta-and-afghani-pant-set
22,Lehariya Printed Rayon Kurta and Palazzo Set,999.00,"2,999.00",NA,https://stylejaipur.com/products/moon-mist-black-printed-polyester-co-ord-set
23,Navy Blue Printed Rayon Kurta and Pant Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/navy-blue-printed-rayon-kurta-and-pant-set
24,Off White Chikankari Kurta and Pant Set with Chanderi Dupatta,"1,649.00","1,999.00",53 ,https://stylejaipur.com/products/off-white-chikankari-kurta-and-pant-set-with-chanderi-dupatta-1
25,Orange White Striped Rayon Kurta and Pant Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/orange-white-striped-rayon-kurta-and-pant-set
26,Parrot Green Cotton Pathani Kurta and Afghani Pant Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/parrot-green-cotton-pathani-kurta-and-afghani-pant-set
27,Red Cotton Slub Kurta and Pant Set,899.00,"1,999.00",55 ,https://stylejaipur.com/products/red-cotton-slub-kurta-and-pant-set
28,Red Embroidered Rayon Kurta and Pant Set,999.00,"3,499.00",50 ,https://stylejaipur.com/products/red-embroidered-rayon-kurta-and-pant-set
29,Rock Blue White Printed Cotton Blend Co-Ord Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/rock-blue-white-printed-cotton-blend-co-ord-set
30,Ruby Red White Striped Rayon Kurta and Pant Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/ruby-red-white-striped-rayon-kurta-and-pant-set
31,Sequined Cotton Co-Ord Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/sequined-cotton-co-ord-set
32,Sky Blue Embellished Cotton Co-Ord Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/sky-blue-embellished-cotton-co-ord-set
33,Yellow Cotton Pathani Kurta and Afghani Pant Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/yellow-cotton-pathani-kurta-and-afghani-pant-set
34,Yellow Printed Cotton Co-Ord Set,999.00,"1,999.00",50 ,https://stylejaipur.com/products/yellow-printed-cotton-co-ord-set
